# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_volume
601 0.608643 -5.71633 140.608
602 0.614032 -5.72202 140.608
603 0.619051 -5.72659 140.608
604 0.623608 -5.7313 140.608
605 0.627585 -5.73499 140.608
606 0.630843 -5.7384 140.608
607 0.633226 -5.74019 140.608
608 0.634547 -5.74137 140.608
609 0.634614 -5.7413 140.608
610 0.63326 -5.73965 140.608
611 0.630361 -5.73706 140.608
612 0.625869 -5.73272 140.608
613 0.619852 -5.72579 140.608
614 0.612484 -5.71886 140.608
615 0.604027 -5.70993 140.608
616 0.594817 -5.6998 140.608
617 0.585224 -5.69018 140.608
618 0.575605 -5.68115 140.608
619 0.566281 -5.67197 140.608
620 0.557498 -5.66288 140.608
621 0.549409 -5.65479 140.608
622 0.542113 -5.64795 140.608
623 0.535679 -5.64166 140.608
624 0.530177 -5.63601 140.608
625 0.525722 -5.63109 140.608
626 0.522463 -5.62782 140.608
627 0.520561 -5.62622 140.608
628 0.520149 -5.6255 140.608
629 0.52128 -5.62709 140.608
630 0.523898 -5.62911 140.608
631 0.527815 -5.63319 140.608
632 0.53273 -5.63752 140.608
633 0.53829 -5.64386 140.608
634 0.54413 -5.65017 140.608
635 0.549922 -5.65567 140.608
636 0.555417 -5.66132 140.608
637 0.560459 -5.66651 140.608
638 0.564993 -5.67119 140.608
639 0.569032 -5.67568 140.608
640 0.572616 -5.67895 140.608
641 0.575771 -5.68211 140.608
642 0.578485 -5.68543 140.608
643 0.580694 -5.68779 140.608
644 0.582322 -5.68972 140.608
645 0.583325 -5.69012 140.608
646 0.58371 -5.69125 140.608
647 0.58355 -5.69154 140.608
648 0.58296 -5.69094 140.608
649 0.582082 -5.6899 140.608
650 0.581045 -5.68901 140.608
651 0.579924 -5.6885 140.608
652 0.578732 -5.68731 140.608
653 0.577432 -5.68586 140.608
654 0.575952 -5.68454 140.608
655 0.574235 -5.68282 140.608
656 0.572273 -5.6807 140.608
657 0.570133 -5.67855 140.608
658 0.567975 -5.67592 140.608
659 0.566042 -5.67442 140.608
660 0.564594 -5.67326 140.608
661 0.563862 -5.67192 140.608
662 0.564006 -5.67161 140.608
663 0.565041 -5.6731 140.608
664 0.566822 -5.67536 140.608
665 0.569088 -5.67719 140.608
666 0.571516 -5.67859 140.608
667 0.573772 -5.68011 140.608
668 0.575559 -5.68131 140.608
669 0.576657 -5.68226 140.608
670 0.576964 -5.68211 140.608
671 0.576504 -5.68195 140.608
672 0.575425 -5.68055 140.608
673 0.573971 -5.67968 140.608
674 0.572442 -5.67753 140.608
675 0.57114 -5.67682 140.608
676 0.570284 -5.6758 140.608
677 0.569973 -5.67534 140.608
678 0.570156 -5.67538 140.608
679 0.570636 -5.67573 140.608
680 0.571132 -5.67625 140.608
681 0.57133 -5.67601 140.608
682 0.570955 -5.67534 140.608
683 0.569827 -5.67437 140.608
684 0.567873 -5.67241 140.608
685 0.565143 -5.67027 140.608
686 0.561805 -5.66691 140.608
687 0.558125 -5.66185 140.608
688 0.55444 -5.65799 140.608
689 0.551122 -5.6545 140.608
690 0.54856 -5.65191 140.608
691 0.547121 -5.65 140.608
692 0.54711 -5.65028 140.608
693 0.548704 -5.65127 140.608
694 0.551914 -5.65449 140.608
695 0.556564 -5.65947 140.608
696 0.56232 -5.66511 140.608
697 0.568714 -5.67139 140.608
698 0.575185 -5.6785 140.608
699 0.581171 -5.68512 140.608
700 0.586177 -5.69014 140.608
701 0.589814 -5.69364 140.608
702 0.591846 -5.69552 140.608
703 0.592214 -5.69604 140.608
704 0.591009 -5.69467 140.608
705 0.588441 -5.69162 140.608
706 0.584817 -5.68752 140.608
707 0.580486 -5.68407 140.608
708 0.575803 -5.67892 140.608
709 0.571123 -5.67392 140.608
710 0.566755 -5.66984 140.608
711 0.562975 -5.66589 140.608
712 0.560053 -5.6628 140.608
713 0.558259 -5.6613 140.608
714 0.557862 -5.66074 140.608
715 0.559088 -5.66196 140.608
716 0.56206 -5.66554 140.608
717 0.566719 -5.67067 140.608
718 0.572784 -5.67691 140.608
719 0.579771 -5.68439 140.608
720 0.587087 -5.69144 140.608
721 0.594162 -5.69854 140.608
722 0.600537 -5.70478 140.608
723 0.605903 -5.70971 140.608
724 0.610076 -5.71433 140.608
725 0.612971 -5.71813 140.608
726 0.614552 -5.71942 140.608
727 0.614787 -5.71936 140.608
728 0.613624 -5.7182 140.608
729 0.610991 -5.71618 140.608
730 0.606827 -5.71218 140.608
731 0.601146 -5.70603 140.608
732 0.59411 -5.69837 140.608
733 0.58609 -5.69063 140.608
734 0.577665 -5.68246 140.608
735 0.569537 -5.67459 140.608
736 0.562418 -5.66728 140.608
737 0.556878 -5.66142 140.608
738 0.553195 -5.65744 140.608
739 0.551293 -5.65571 140.608
740 0.55081 -5.65527 140.608
741 0.551218 -5.65571 140.608
742 0.551995 -5.65682 140.608
743 0.552748 -5.65758 140.608
744 0.553274 -5.65886 140.608
745 0.553566 -5.65944 140.608
746 0.553772 -5.66023 140.608
747 0.554125 -5.66072 140.608
748 0.55486 -5.6619 140.608
749 0.556132 -5.66347 140.608
750 0.557962 -5.66591 140.608
751 0.560247 -5.66897 140.608
752 0.562818 -5.6714 140.608
753 0.565501 -5.67333 140.608
754 0.56816 -5.6766 140.608
755 0.570713 -5.67855 140.608
756 0.573129 -5.68081 140.608
757 0.575427 -5.68251 140.608
758 0.577606 -5.68469 140.608
759 0.579605 -5.68684 140.608
760 0.581279 -5.68853 140.608
761 0.582413 -5.69013 140.608
762 0.582754 -5.69079 140.608
763 0.582061 -5.69026 140.608
764 0.58016 -5.68821 140.608
765 0.576964 -5.68501 140.608
766 0.572469 -5.6799 140.608
767 0.56675 -5.67387 140.608
768 0.559958 -5.66692 140.608
769 0.552313 -5.65925 140.608
770 0.544093 -5.65086 140.608
771 0.53562 -5.64206 140.608
772 0.527261 -5.63429 140.608
773 0.519401 -5.62565 140.608
774 0.512399 -5.61818 140.608
775 0.506561 -5.61294 140.608
776 0.50211 -5.60879 140.608
777 0.499154 -5.60462 140.608
778 0.497689 -5.60302 140.608
779 0.497594 -5.60294 140.608
780 0.498647 -5.60431 140.608
781 0.500562 -5.60716 140.608
782 0.503009 -5.60978 140.608
783 0.505652 -5.61259 140.608
784 0.508199 -5.61546 140.608
785 0.510454 -5.61787 140.608
786 0.512359 -5.61992 140.608
787 0.514014 -5.62126 140.608
788 0.515659 -5.62318 140.608
789 0.517619 -5.62406 140.608
790 0.520229 -5.6268 140.608
791 0.523766 -5.62897 140.608
792 0.528392 -5.63359 140.608
793 0.534094 -5.6387 140.608
794 0.540686 -5.64471 140.608
795 0.547816 -5.65263 140.608
796 0.555006 -5.6603 140.608
797 0.561722 -5.66765 140.608
798 0.567431 -5.67354 140.608
799 0.571648 -5.67808 140.608
800 0.573992 -5.68029 140.608
801 0.574201 -5.68067 140.608
802 0.572141 -5.67875 140.608
803 0.567819 -5.67381 140.608
804 0.561387 -5.66706 140.608
805 0.553155 -5.6582 140.608
806 0.543605 -5.64876 140.608
807 0.53338 -5.63834 140.608
808 0.523272 -5.62847 140.608
809 0.514178 -5.61917 140.608
810 0.506987 -5.61178 140.608
811 0.502437 -5.6066 140.608
812 0.500997 -5.60545 140.608
813 0.502779 -5.6065 140.608
814 0.507527 -5.61234 140.608
815 0.514694 -5.62015 140.608
816 0.523575 -5.62877 140.608
817 0.533434 -5.63837 140.608
818 0.543585 -5.6481 140.608
819 0.553464 -5.65755 140.608
820 0.562644 -5.66675 140.608
821 0.570806 -5.67432 140.608
822 0.577731 -5.682 140.608
823 0.58327 -5.68769 140.608
824 0.587319 -5.69144 140.608
825 0.589817 -5.69333 140.608
826 0.590739 -5.69395 140.608
827 0.59007 -5.69298 140.608
828 0.587822 -5.69134 140.608
829 0.58407 -5.68818 140.608
830 0.578936 -5.68319 140.608
831 0.572594 -5.67729 140.608
832 0.565295 -5.67058 140.608
833 0.557348 -5.66337 140.608
834 0.549114 -5.65572 140.608
835 0.540989 -5.64757 140.608
836 0.533388 -5.64009 140.608
837 0.52671 -5.63294 140.608
838 0.521301 -5.62827 140.608
839 0.517418 -5.62392 140.608
840 0.515215 -5.62126 140.608
841 0.514704 -5.6203 140.608
842 0.51575 -5.62091 140.608
843 0.518078 -5.62281 140.608
844 0.521286 -5.62605 140.608
845 0.524909 -5.62955 140.608
846 0.528473 -5.63329 140.608
847 0.531568 -5.63626 140.608
848 0.533898 -5.6383 140.608
849 0.535305 -5.64016 140.608
850 0.535788 -5.64123 140.608
851 0.535487 -5.64091 140.608
852 0.534641 -5.64005 140.608
853 0.533532 -5.63832 140.608
854 0.532405 -5.63688 140.608
855 0.531408 -5.63528 140.608
856 0.530564 -5.63414 140.608
857 0.529768 -5.63351 140.608
858 0.528834 -5.63259 140.608
859 0.527559 -5.63193 140.608
860 0.525789 -5.63092 140.608
861 0.523443 -5.62812 140.608
862 0.520531 -5.62565 140.608
863 0.517148 -5.62241 140.608
864 0.51343 -5.61808 140.608
865 0.509544 -5.61372 140.608
866 0.505664 -5.61014 140.608
867 0.501954 -5.60627 140.608
868 0.498572 -5.60273 140.608
869 0.495672 -5.59936 140.608
870 0.493423 -5.5971 140.608
871 0.492012 -5.59659 140.608
872 0.491616 -5.59588 140.608
873 0.49237 -5.59678 140.608
874 0.494345 -5.59951 140.608
875 0.497472 -5.60295 140.608
876 0.501528 -5.60764 140.608
877 0.506155 -5.6123 140.608
878 0.510885 -5.61661 140.608
879 0.515228 -5.62173 140.608
880 0.518753 -5.62589 140.608
881 0.521153 -5.62829 140.608
882 0.522308 -5.6296 140.608
883 0.522317 -5.62989 140.608
884 0.521464 -5.62931 140.608
885 0.520146 -5.62827 140.608
886 0.518782 -5.62704 140.608
887 0.517701 -5.62579 140.608
888 0.517075 -5.62532 140.608
889 0.516895 -5.62545 140.608
890 0.517003 -5.62497 140.608
891 0.517197 -5.62488 140.608
892 0.517315 -5.62485 140.608
893 0.517313 -5.62469 140.608
894 0.517323 -5.62377 140.608
